					reg				comb				total			
1	0.00006	0.00006	0.00007	0.00006	0.00076	0.00124	0.00149	0.00273	0.03701	0.06178	0.10648	0.14752	0.00839	0.01426	0.02767	0.03474
2	0.00461	0.00452	0.00482	0.00447	0.00016	0.00065	0.00086	0.00047	0.02275	0.02534	0.04498	0.05526	0.00852	0.00874	0.01466	0.01606
3	0.00459	0.00448	0.00465	0.00444	0.00007	0.00012	0.00041	0.00022	0.01795	0.02005	0.02725	0.0383	0.01045	0.01068	0.01324	0.01553
4	0.00463	0.00456	0.00487	0.00446	0.00005	0.00009	0.00015	0.00018	0.01741	0.0172	0.03222	0.0358	0.01338	0.01294	0.01783	0.01788
5	0.00468	0.00457	0.00483	0.00449	0.00005	0.00009	0.00011	0.00014	0.01818	0.01635	0.02931	0.03293	0.01661	0.01574	0.02024	0.0202
6	0.00468	0.00456	0.0048	0.00448	0.00004	0.00007	0.00011	0.00012	0.0155	0.01498	0.02108	0.02837	0.01913	0.01838	0.0213	0.02223
7	0.00473	0.00453	0.0048	0.00451	0.00004	0.00006	0.00012	0.00011	0.01461	0.0127	0.02066	0.02729	0.02224	0.02085	0.0244	0.02498
8	0.00473	0.00454	0.0048	0.00452	0.00004	0.00007	0.00011	0.0001	0.01462	0.01215	0.01905	0.02628	0.02538	0.02371	0.02705	0.02775
																
									-1.431680915	-1.209152096	-0.972731958	-0.831149096				
									-1.643018599	-1.596193389	-1.346980549	-1.257589119				
									-1.745935547	-1.697885623	-1.564633493	-1.416801226				
									-1.759201229	-1.764471553	-1.491874464	-1.446116973				
									-1.740406121	-1.786482243	-1.532984182	-1.482408269				
									-1.809668302	-1.824488187	-1.676129393	-1.547140664				
									-1.835349784	-1.896196279	-1.684869683	-1.563996464				
									-1.835052627	-1.915423722	-1.72010502	-1.580374639				
																
									27.0197244	16.18646811	9.391435011	6.778741866				
									43.95604396	39.46329913	22.23210316	18.09627217				
									55.71030641	49.87531172	36.69724771	26.10966057				
									57.43825388	58.13953488	31.03662322	27.93296089				
									55.00550055	61.16207951	34.11804845	30.3674461				
									64.51612903	66.75567423	47.43833017	35.24850194				
									68.44626968	78.74015748	48.40271055	36.64345914				
									68.3994528	82.30452675	52.49343832	38.05175038				
